Guid,AccountId,LastName,FirstName,Salutation,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,HasOptedOutOfEmail,EmailBouncedReason,EmailBouncedDate,Jigsaw,ContactSource,TitleType,DepartmentGroup,BuyerAttributes,ccrz__CompanyName__c,ccrz__CompanyType__c,ccrz__DataId__c,ccrz__IsPortalUser__c,ccrz__SelfRegistered__c,Product_Areas__c
000dba8b-98df-4075-b749-e6d6604cd957,5fcf91c1-8779-4772-9348-6848df2650ba,Ian,Vonni,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(402)952-5053,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+218@gmail.com,CFO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
00f79657-ce32-40ba-81a5-82ff9268787c,f6ddb2c4-13e6-4edd-8eff-2dfa94c0f4dc,Marlow,Tracy,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,+81 725 925939,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+683@gmail.com,CIO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
01ab89ba-f0fa-41ac-b96c-4593ca1f61b7,1db1d9d5-c43c-4f8c-800d-ebc2d5a28ad8,Lane,Denise,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(150) 973-1240,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+522@gmail.com,"SVP, Marketing & Sales",#N/A,#N/A,#N/A,1974-11-24,"Mr. Barth became Senior Vice President, Marketing & Sales on July 1, 2015. He is responsible for PMI’s global marketing strategies and sales activities.",false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
01d180f5-99df-4fa4-9d4e-3d10af2fcaaa,e6fbac12-16ba-4030-aebd-0b42fcfcc6f2,Saul,Kaitlyn,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,011 49 69 3576 6843,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+546@gmail.com,"Vice President, IT",#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
01fe9a83-9589-4235-a134-fa74bf57bf1b,71d44fa4-50a9-4e80-b64f-46e95b4f4cb5,Sterne,Darsey,#N/A,#N/A,#N/A,#N/A,3293,#N/A,#N/A,#N/A,#N/A,26 Dalgarno Street,GLENTHOMPSON,VIC,#N/A,Australia,#N/A,#N/A,#N/A,(03) 5338 4074,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+16@gmail.com,CFO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
02d3af40-6a42-46d7-bc51-899d090669b0,5fcf91c1-8779-4772-9348-6848df2650ba,Adlai,Lenka,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1 AT&T Way,Arlington,TX,76011,USA,#N/A,#N/A,#N/A,(303) 999-1234,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+595@gmail.com,SVP,#N/A,#N/A,#N/A,#N/A,"Throughout his career, Mr. Albers has held a variety of managerial positions in development, operations, production and engineering. After several assignments in Texas and New Jersey, in 1991 he was transferred to Esso Australia in Melbourne as technical manager and later became operations manager. He then held positions as Alaska interests manager and production manager for the Western U.S.",false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
031c3002-19ba-4377-aaee-d4821914d05c,95d8ba77-61c7-4111-ba27-978d5478a60e,Cecilio,Darci,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(406) 966-5235,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+415@gmail.com,CFO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
037be087-89fe-48fa-a0dc-799644bef9f1,a392d667-aaf5-4c0e-a866-d03784ab0a12,Bennie,Elsi,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,202-555-0110,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+255@gmail.com,COO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
039e8176-6b2f-4e13-ac7c-fcd83407d2f8,44199be1-cb53-4fe5-b48a-b2947ba4db19,Pepillo,Caye,#N/A,200 Elizabeth Street,Melbourne,VIC,3000,Australia,#N/A,#N/A,#N/A,200 Elizabeth Street,Melbourne,VIC,3000,Australia,#N/A,#N/A,#N/A,(03) 7145 6967,(03) 7145 6967,0429 604 507,#N/A,#N/A,(03) 7145 6967,jmanningcongagdo+781@gmail.com,Account Executive,Sales,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
043dfe50-3d3d-4cd7-bc9a-5b79a9be29fc,ef919a0d-6060-4bd5-a33c-f236fe69f139,Dick,Marilyn,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(484)576-8707,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+259@gmail.com,COO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
058eed3b-00b2-481e-ba13-ffd6f36683a7,f04b1a84-3796-469c-bff1-731cf6f041fb,Virgil,Bekki,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1265 Lombardi Avenue,Green Bay,WI,54304,USA,#N/A,#N/A,#N/A,(920) 468-4270,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+721@gmail.com,Chief of Staff & Director of Operations,#N/A,#N/A,#N/A,#N/A,"Gena Stern is the Chief of Staff and Director of Operations for the JPMorgan Chase Institute. Previously, Gena served as the Senior Advisor to the Chief of Staff at the Consumer Financial Protection Bureau. In that role, she provided advisory support to the Director and Chief of Staff on general management and operations of the agency, managed strategic internal communications, and lead organizational and workforce development.",false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
05f7c82f-a07f-4916-8186-d18b3717076d,a54754e4-4805-43a3-bb28-c16c0017b759,Nikolos,Sarena,#N/A,#N/A,#N/A,#N/A,2347,#N/A,#N/A,#N/A,#N/A,88 Bailey Street,CARODA,NSW,#N/A,Australia,#N/A,#N/A,#N/A,(03) 5338 3982,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+656@gmail.com,SVP,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
